Revisão	B-Evento
Bibliográfica	I-Evento
em	O
6	B-Data
passos	I-Data
na	O
Investigação	O
em	O
Ciências	O
da	O
Nutrição	O
Inscrições	O
abertas	O
para	O
a	O
2.ªedição	B-Organizacao
Formador	I-Organizacao
Marta	B-Pessoa
Azevedo	I-Pessoa
(	O
FCNAUP	B-UnidadeOrganica
)	O
Inscrições	O
até	O
12	B-Data
de	I-Data
março	I-Data
de	I-Data
2017	I-Data
para	O
educacaocontinua	O
@	O
fcna.up.pt	O
Destinatários	O
Estagiários	O
da	O
Licenciatura	O
em	O
Ciências	O
da	O
Nutrição	O
e	O
estudantes	O
de	O
Mestrado	O
e	O
Doutoramento	O
na	O
área	O
das	O
Ciências	O
da	O
Nutrição	O
;	O
licenciados	O
,	O
mestres	O
ou	O
doutores	O
na	O
área	O
das	O
Ciências	O
da	O
Nutrição	O
e	O
áreas	O
afins	O
(	O
ciências	O
biológicas	O
,	O
biomédicas	O
e	O
farmacêuticas	O
)	O
.	O
Para	O
mais	O
informações	O
consulte	O
o	O
programa.	O
Procedimento	O
de	O
revisão	O
do	O
regulamento	O
do	O
concurso	O
especial	O
para	O
acesso	O
ao	O
curso	O
de	O
medicina	O
do	O
ICBAS	B-UnidadeOrganica
por	O
titulares	O
de	O
licenciatura.	O
6	B-Data
a	O
10	B-Data
de	I-Data
fevereiro	I-Data
de	I-Data
2017	I-Data
O	O
Conselho	O
Científico	O
do	O
Instituto	B-UnidadeOrganica
de	I-UnidadeOrganica
Ciências	I-UnidadeOrganica
Biomédicas	I-UnidadeOrganica
de	I-UnidadeOrganica
Abel	I-UnidadeOrganica
Salazar	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
torna	O
público	O
que	O
,	O
nos	O
termos	O
do	O
artigo	O
98.º	O
do	O
Código	O
do	O
Procedimento	O
Administrativo	O
,	O
aprovado	O
pelo	O
Decreto	B-Organizacao
-Lei	I-Organizacao
n.º	I-Organizacao
4/2015	O
de	O
7	B-Data
de	I-Data
janeiro	I-Data
,	O
em	O
reunião	O
de	O
25	B-Data
de	I-Data
janeiro	I-Data
de	I-Data
2017	I-Data
,	O
decidiu	O
dar	O
início	O
ao	O
procedimento	O
de	O
revisão	O
do	O
regulamento	O
do	O
concurso	O
especial	O
para	O
acesso	O
ao	O
curso	O
de	O
medicina	O
do	O
ICBAS	B-UnidadeOrganica
por	O
titulares	O
de	O
licenciatura.	O
Assim	O
,	O
os	O
titulares	O
de	O
direitos	O
ou	O
interesses	O
legalmente	O
protegidos	O
no	O
âmbito	O
das	O
decisões	O
que	O
forem	O
ou	O
possam	O
ser	O
tomadas	O
,	O
podem	O
constituir-se	O
interessados	O
no	O
procedimento	O
e	O
apresentar	O
os	O
seus	O
contributos	O
para	O
a	O
elaboração	O
do	O
projeto	O
de	O
regulamento	O
Para	O
o	O
efeito	O
,	O
no	O
prazo	O
de	O
cinco	O
dias	O
após	O
a	O
publicação	O
deste	O
aviso	O
no	O
sítio	O
institucional	O
do	O
ICBAS	B-UnidadeOrganica
,	O
deverão	O
dirigir	O
ao	O
Presidente	O
do	O
Conselho	O
Científico	O
uma	O
comunicação	O
,	O
através	O
de	O
mensagem	O
de	O
correio	O
eletrónico	O
enviado	O
para	O
concie	O
@	O
icbas.up.pt	O
,	O
ou	O
entregue	O
pessoalmente	O
na	O
Secção	O
de	O
Expediente	O
do	O
ICBAS	B-UnidadeOrganica
,	O
indicando	O
em	O
assunto	O
“Constituição	O
como	O
interessado	O
no	O
procedimento	O
de	O
revisão	O
do	O
regulamento	O
do	O
concurso	O
especial	O
para	O
acesso	O
ao	O
curso	O
de	O
medicina	O
do	O
ICBAS	B-UnidadeOrganica
por	O
titulares	O
de	O
licenciatura”	O
,	O
dela	B-Pessoa
constando	I-Pessoa
o	O
nome	O
completo	O
,	O
número	O
de	O
identificação	O
civil	O
e	O
fiscal	O
,	O
morada	O
,	O
profissão	O
e	O
o	O
respetivo	O
endereço	O
eletrónico	O
e	O
dando	O
expresso	O
