
** training sigarra **

** repeat 0 **

** fold 0 **
Indexing events using cutoff of 4

	Computing event counts...  done. 147459 events
	Indexing...  done.
Sorting and merging events... done. Reduced 147459 events to 116255.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 116255
	    Number of Outcomes: 17
	  Number of Predicates: 56039
...done.
Computing model parameters ...
Performing 170 iterations.
  1:  ... loglikelihood=-417782.8065000571	0.7791318264737995
  2:  ... loglikelihood=-122206.6993159397	0.802067015238134
  3:  ... loglikelihood=-77148.91392064701	0.8801565180829926
  4:  ... loglikelihood=-56753.62291777398	0.9241687519920792
  5:  ... loglikelihood=-45268.18886280333	0.9447439627286228
  6:  ... loglikelihood=-37971.803224953226	0.9570795950060695
  7:  ... loglikelihood=-32934.474961055894	0.9646478004055364
  8:  ... loglikelihood=-29240.710697735463	0.9699645325141226
  9:  ... loglikelihood=-26408.086868739716	0.973226456167477
 10:  ... loglikelihood=-24160.511800040244	0.9757830990309171
 11:  ... loglikelihood=-22329.0664556305	0.9778650336703761
 12:  ... loglikelihood=-20804.632693184496	0.9796960511057311
 13:  ... loglikelihood=-19513.530841976462	0.98121511742247
 14:  ... loglikelihood=-18404.169902649377	0.9822933832455123
 15:  ... loglikelihood=-17439.317685404058	0.9833784306146115
 16:  ... loglikelihood=-16591.409084425126	0.9844024440691989
 17:  ... loglikelihood=-15839.583270719744	0.9851551956815114
 18:  ... loglikelihood=-15167.74885893128	0.9858401318332554
 19:  ... loglikelihood=-14563.28337194673	0.986592883445568
 20:  ... loglikelihood=-14016.136822146644	0.9871421886761744
 21:  ... loglikelihood=-13518.200132279924	0.9876643677225534
 22:  ... loglikelihood=-13062.851566318135	0.9880916051241362
 23:  ... loglikelihood=-12644.625548142587	0.9885391871638897
 24:  ... loglikelihood=-12258.967260258507	0.9888443567364488
 25:  ... loglikelihood=-11902.048256145052	0.9892580310459178
 26:  ... loglikelihood=-11570.625952285694	0.9896106714408751
 27:  ... loglikelihood=-11261.93502392881	0.9898548070989224
 28:  ... loglikelihood=-10973.602325375701	0.9902006659478227
 29:  ... loglikelihood=-10703.57945242297	0.9904651462440407
 30:  ... loglikelihood=-10450.088760363991	0.9907025003560311
 31:  ... loglikelihood=-10211.57979228955	0.990919509829851
 32:  ... loglikelihood=-9986.69385267361	0.9911433008497277
 33:  ... loglikelihood=-9774.235011187722	0.9913264025932632
 34:  ... loglikelihood=-9573.146221234272	0.9914823781525712
 35:  ... loglikelihood=-9382.48953451314	0.9916247906197655
 36:  ... loglikelihood=-9201.429616656991	0.9918214554554148
 37:  ... loglikelihood=-9029.219939347482	0.9919367417383815
 38:  ... loglikelihood=-8865.191155061753	0.992065591113462
