
** training sigarra **

** repeat 0 **
Indexing events using cutoff of 4

	Computing event counts...  done. 128056 events
	Indexing...  done.
Sorting and merging events... done. Reduced 128056 events to 102562.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 102562
	    Number of Outcomes: 17
	  Number of Predicates: 50323
...done.
Computing model parameters ...
Performing 170 iterations.
  1:  ... loglikelihood=-362809.9679855621	0.7808224526769538
  2:  ... loglikelihood=-107149.01420159233	0.8032189042293997
  3:  ... loglikelihood=-67824.7614330135	0.8812082214031361
  4:  ... loglikelihood=-49992.66460607341	0.9233147997750984
  5:  ... loglikelihood=-39912.364233811524	0.9447819703879553
  6:  ... loglikelihood=-33488.472180482604	0.9566673955144624
  7:  ... loglikelihood=-29044.429722925088	0.9645701880427313
  8:  ... loglikelihood=-25781.854546038336	0.9694352470794028
  9:  ... loglikelihood=-23278.26747394096	0.9728946710814019
 10:  ... loglikelihood=-21291.064530734595	0.9757137502342725
 11:  ... loglikelihood=-19671.475332980444	0.9778768663709627
 12:  ... loglikelihood=-18323.26358310447	0.9796026738301993
 13:  ... loglikelihood=-17181.39092839391	0.9811957268694946
 14:  ... loglikelihood=-16200.285764429333	0.9824920347348035
 15:  ... loglikelihood=-15347.039809886488	0.9835462610108078
 16:  ... loglikelihood=-14597.276850395547	0.9845536327856563
 17:  ... loglikelihood=-13932.54270761581	0.9853189229712
 18:  ... loglikelihood=-13338.599238191111	0.9860998313237959
 19:  ... loglikelihood=-12804.276257690732	0.9866933216717686
 20:  ... loglikelihood=-12320.679364489042	0.9871618666833261
 21:  ... loglikelihood=-11880.631435282874	0.9876226026113575
 22:  ... loglikelihood=-11478.27145814458	0.9880130567876554
 23:  ... loglikelihood=-11108.761642302981	0.988450365465109
 24:  ... loglikelihood=-10768.070385536861	0.9889267195601924
 25:  ... loglikelihood=-10452.809126573417	0.9892937464859124
 26:  ... loglikelihood=-10160.107928430003	0.989551446242269
 27:  ... loglikelihood=-9887.519259368431	0.9898950459174112
 28:  ... loglikelihood=-9632.942616163375	0.9901683638408196
 29:  ... loglikelihood=-9394.564805936547	0.9903323545948648
 30:  ... loglikelihood=-9170.812174203753	0.9905119635159617
 31:  ... loglikelihood=-8960.312067732582	0.9907228087711626
 32:  ... loglikelihood=-8761.861513839689	0.9909102267757856
 33:  ... loglikelihood=-8574.401589588506	0.9910898356968826
 34:  ... loglikelihood=-8396.996312064146	0.9912538264509277
 35:  ... loglikelihood=-8228.815146354198	0.9914724807896546
 36:  ... loglikelihood=-8069.118427644413	0.9916520897107516
 37:  ... loglikelihood=-7917.245145706855	0.9918238895483226
 38:  ... loglikelihood=-7772.60265627938	0.9919800712188418
 39:  ... loglikelihood=-7634.657973351294	0.9920113075529455
 40:  ... loglikelihood=-7502.930365690962	0.9921440619728868
 41:  ... loglikelihood=-7376.985035009692	0.99229243455988
 42:  ... loglikelihood=-7256.427695555881	0.9924095708127694
 43:  ... loglikelihood=-7140.8999084423385	0.9925267070656588
 44:  ... loglikelihood=-7030.075050644267	0.9926438433185482
 45:  ... loglikelihood=-6923.654819922007	0.9927765977384894
 46:  ... loglikelihood=-6821.366194077032	0.992854688573749
 47:  ... loglikelihood=-6722.958776828333	0.9929483975760605
 48:  ... loglikelihood=-6628.202473889247	0.9930030611607422
 49:  ... loglikelihood=-6536.885452039588	0.9930733429124758
 50:  ... loglikelihood=-6448.812341561337	0.9931592428312613
 51:  ... loglikelihood=-6363.802648632703	0.9932763790841507
 52:  ... loglikelihood=-6281.6893494341875	0.993409133504092
 53:  ... loglikelihood=-6202.317641995199	0.9935028425064034
 54:  ... loglikelihood=-6125.543835373206	0.9935496970075592
 55:  ... loglikelihood=-6051.234358735762	0.9936121696757668
 56:  ... loglikelihood=-5979.264875411436	0.9936824514275004
 57:  ... loglikelihood=-5909.51948907943	0.9937293059286562
 58:  ... loglikelihood=-5841.890031033106	0.9938230149309677
 59:  ... loglikelihood=-5776.275418964699	0.993940151183857
 60:  ... loglikelihood=-5712.581078981886	0.9939870056850129
 61:  ... loglikelihood=-5650.718423660599	0.9940494783532204
 62:  ... loglikelihood=-5590.604379860134	0.9940885237708502
 63:  ... loglikelihood=-5532.160960825142	0.9941509964390579
 64:  ... loglikelihood=-5475.314877779033	0.9942134691072656
 65:  ... loglikelihood=-5419.997186799049	0.9942447054413694
 66:  ... loglikelihood=-5366.142967276431	0.994322796276629
 67:  ... loglikelihood=-5313.691028696997	0.9943696507777847
 68:  ... loglikelihood=-5262.583642864495	0.9944243143624664
 69:  ... loglikelihood=-5212.766299015952	0.9944945961142
 70:  ... loglikelihood=-5164.187479571079	0.9945414506153558
 71:  ... loglikelihood=-5116.798454505863	0.9946039232835634
 72:  ... loglikelihood=-5070.553092566464	0.9946585868682452
 73:  ... loglikelihood=-5025.407687728193	0.9946976322858749
 74:  ... loglikelihood=-4981.320799478328	0.9947288686199788
 75:  ... loglikelihood=-4938.253105650555	0.9947757231211345
 76:  ... loglikelihood=-4896.16726667064	0.9948225776222902
 77:  ... loglikelihood=-4855.027800191265	0.99486162303992
 78:  ... loglikelihood=-4814.800965195606	0.9949162866246017
 79:  ... loglikelihood=-4775.454654744051	0.9949240957081277
 80:  ... loglikelihood=-4736.958296617406	0.9949709502092834
 81:  ... loglikelihood=-4699.282761184147	0.9949943774598613
 82:  ... loglikelihood=-4662.400275884827	0.9950178047104392
 83:  ... loglikelihood=-4626.2843457813005	0.995041231961017
 84:  ... loglikelihood=-4590.90967967582	0.9950646592115949
 85:  ... loglikelihood=-4556.252121343931	0.9951037046292247
 86:  ... loglikelihood=-4522.288585475064	0.9951583682139065
 87:  ... loglikelihood=-4488.996997943978	0.9952052227150622
 88:  ... loglikelihood=-4456.356240075823	0.9952052227150622
