COISAS	B-OUTRO
DA	I-OUTRO
SÁBADO	I-OUTRO
:	O
A	O
DIFERENÇA	O
ENTRE	O
O	O
JORNAL	B-COISA
DE	I-COISA
NOTÍCIAS	I-COISA
E	O
O	O
DIÁRIO	B-COISA
DE	I-COISA
NOTÍCIAS	I-COISA
No	B-TEMPO
dia	I-TEMPO
em	O
que	O
a	O
operação	O
«	O
Noite	B-ACONTECIMENTO
Branca	I-ACONTECIMENTO
»	O
começou	O
a	O
prender	O
suspeitos	O
de	O
serem	O
responsáveis	O
pelo	O
clima	O
de	O
violência	O
no	O
Porto	B-LOCAL
,	O
a	O
comparação	O
entre	O
um	O
jornal	O
de	O
Lisboa	B-LOCAL
,	O
o	O
Diário	B-OBRA
de	I-OBRA
Notícias	I-OBRA
,	O
e	O
um	O
do	O
Porto	B-LOCAL
,	O
o	O
Jornal	B-OBRA
de	I-OBRA
Notícias	I-OBRA
,	O
no	B-TEMPO
mesmo	I-TEMPO
dia	I-TEMPO
17	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
,	O
não	O
podia	O
ser	O
mais	O
significativa	O
.	O
O	O
Diário	O
de	O
Notícias	O
falava	O
das	O
biografias	O
e	O
do	O
background	O
dos	O
detidos	O
,	O
fazendo	O
nota	O
,	O
como	O
é	O
óbvio	O
,	O
do	O
seu	O
profundo	O
envolvimento	O
com	O
a	O
claque	O
do	O
FCP	B-ORGANIZACAO
,	O
os	O
Super	B-PESSOA
Dragões	I-PESSOA
.	O
Na	O
verdade	O
nenhum	O
destes	O
homens	O
se	O
tornou	O
conhecido	O
por	O
ser	O
segurança	O
na	O
noite	O
,	O
nem	O
por	O
frequentar	O
ginásios	O
e	O
mesmo	O
as	O
suas	O
páginas	O
e	O
vídeos	O
guerreiros	O
(	O
*	O
)	O
nunca	O
tinham	O
merecido	O
muita	O
atenção	O
.	O
Onde	O
eles	O
apareciam	O
era	O
à	O
frente	O
da	O
claque	O
em	O
filmes	O
(	O
a	O
SIC	B-ORGANIZACAO
mostrou-os	O
)	O
e	O
em	O
fotos	O
de	O
segurança	O
aos	O
dirigentes	O
do	O
clube	O
.	O
No	O
Jornal	B-LOCAL
de	I-LOCAL
Notícias	I-LOCAL
tudo	O
isto	O
é	O
cuidadosamente	O
omitido	O
e	O
os	O
presos	O
aparecem	O
sem	O
biografia	O
,	O
ou	O
apenas	O
com	O
uma	O
referência	O
casual	O
e	O
singular	O
a	O
essa	O
pertença	O
.	O
De	O
facto	O
,	O
o	O
Jornal	B-OBRA
de	I-OBRA
Notícias	I-OBRA
parece	O
ser	O
um	O
jornal	O
do	O
Casaquistão	B-LOCAL
tal	O
é	O
a	O
ignorância	O
do	O
que	O
se	O
passa	O
à	O
sua	O
volta	O
.	O
Mas	O
não	O
é	O
,	O
é	O
mesmo	O
do	O
Porto	B-LOCAL
e	O
esse	O
é	O
que	O
é	O
o	O
problema	O
:	O
é	O
do	O
Porto	B-LOCAL
e	O
cala	O
.	O
Indústria	B-ABSTRACCAO
e	O
Comércio	B-ABSTRACCAO
:	O
Informática	B-ABSTRACCAO
:	O
Consultoria	B-ORGANIZACAO
e	I-ORGANIZACAO
Sistemas	I-ORGANIZACAO
RML	I-ORGANIZACAO
-	O
Sistema	O
de	O
faturamento	O
e	O
administração	O
de	O
academias	O
com	O
controle	O
de	O
catracas	O
eletrônicas	O
e	O
desenvolvimento	O
de	O
sistemas	O
.	O
OperFit	B-COISA
,	O
Adm	O
pro	O
,	O
R	O
white	O
e	O
Life	O
sport	O
http	O
:	O
//www.rml.com.br	O
CooperSis	B-ORGANIZACAO
Informática	I-ORGANIZACAO
-	O
Somos	O
especializados	O
em	O
pequenas	O
e	O
medias	O
empresas	O
que	O
nao	O
possuem	O
informatizacao	O
ou	O
estao	O
descontentes	O
com	O
o	O
que	O
tem	O
http	O
:	O
//www.airtonmolena.com.br	O
Credi-Telemática	B-ORGANIZACAO
Eletro-Eletrônicos	I-ORGANIZACAO
-	O
Loja	O
virtual	O
que	O
atende	O
todo	O
o	O
território	O
nacional	O
com	O
eletro-eletrônicos	O
importados	O
,	O
material	O
de	O
informática	O
e	O
de	O
telefonia	O
.	O
Configurações	O
personalizadas	O
e	O
as	O
últimas	O
novidades	O
são	O
encontradas	O
aqui	O
.	O
http	O
:	O
//www.credi.com.br	O
Croma	B-ORGANIZACAO
Eletrônica	I-ORGANIZACAO
Ltda	I-ORGANIZACAO
.	I-ORGANIZACAO
