
** training iterations **

** repeat 0 **

** iterations value: 160 **

** training categories **
Indexing events using cutoff of 5

	Computing event counts...  done. 59062 events
	Indexing...  done.
Sorting and merging events... done. Reduced 59062 events to 55254.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 55254
	    Number of Outcomes: 21
	  Number of Predicates: 16579
...done.
Computing model parameters ...
Performing 160 iterations.
  1:  ... loglikelihood=-179815.58421686216	0.8141613897260506
  2:  ... loglikelihood=-59710.66450477969	0.8187667197182622
  3:  ... loglikelihood=-40345.424382874764	0.8389658325149842
  4:  ... loglikelihood=-31870.212897127592	0.8654634113304663
  5:  ... loglikelihood=-26680.50131851133	0.8879821204835596
  6:  ... loglikelihood=-23115.275303618546	0.9051674511530257
  7:  ... loglikelihood=-20514.854155941823	0.9188141275270055
  8:  ... loglikelihood=-18537.544201214387	0.9282618265551454
  9:  ... loglikelihood=-16984.263962666835	0.9360163895567369
 10:  ... loglikelihood=-15731.197070577675	0.9418069147675324
 11:  ... loglikelihood=-14697.761565596975	0.9468016660458501
 12:  ... loglikelihood=-13829.570344694877	0.9512207510751414
 13:  ... loglikelihood=-13088.751318785971	0.9544038468050523
 14:  ... loglikelihood=-12448.19901964079	0.956808099962751
 15:  ... loglikelihood=-11888.036708606123	0.9587213436727506
 16:  ... loglikelihood=-11393.369742384391	0.9606515187430158
 17:  ... loglikelihood=-10952.818860266	0.9624631742914226
 18:  ... loglikelihood=-10557.538713015678	0.9642409671192984
 19:  ... loglikelihood=-10200.546263364795	0.9655108191392097
 20:  ... loglikelihood=-9876.251724024207	0.9668822593207138
 21:  ... loglikelihood=-9580.124686362291	0.9680166604585012
 22:  ... loglikelihood=-9308.452228755636	0.969235718397616
 23:  ... loglikelihood=-9058.160731915616	0.9703701195354034
 24:  ... loglikelihood=-8826.682583806032	0.9709627171446954
 25:  ... loglikelihood=-8611.85504949763	0.9718262165182351
 26:  ... loglikelihood=-8411.842562555019	0.9724357454877924
 27:  ... loglikelihood=-8225.076329365087	0.9732484507805357
 28:  ... loglikelihood=-8050.206905694412	0.9739764992719515
 29:  ... loglikelihood=-7886.0666097719895	0.9747045477633673
 30:  ... loglikelihood=-7731.63947217172	0.9752632826521282
 31:  ... loglikelihood=-7586.03701376934	0.9757712234600928
 32:  ... loglikelihood=-7448.478568601063	0.9761267820256679
 33:  ... loglikelihood=-7318.2751797389465	0.9766008601131014
 34:  ... loglikelihood=-7194.816326628794	0.9771257322813315
 35:  ... loglikelihood=-7077.55891404566	0.9776844671700925
 36:  ... loglikelihood=-6966.018081474394	0.9780400257356676
 37:  ... loglikelihood=-6859.759488566011	0.9783278588601808
 38:  ... loglikelihood=-6758.392805650841	0.978615691984694
 39:  ... loglikelihood=-6661.566194229484	0.9788527310284109
 40:  ... loglikelihood=-6568.961605417857	0.9791236327926586
 41:  ... loglikelihood=-6480.290757772926	0.9793606718363753
 42:  ... loglikelihood=-6395.2916821519575	0.9795977108800921
 43:  ... loglikelihood=-6313.725742004822	0.9798855440046054
 44:  ... loglikelihood=-6235.375054025762	0.9801733771291186
 45:  ... loglikelihood=-6160.04024734949	0.9803596220920389
 46:  ... loglikelihood=-6087.538510168058	0.980647455216552
