Mosteiro	B-OBRA_ARTE
de	I-OBRA_ARTE
Santa	I-OBRA_ARTE
Cruz	I-OBRA_ARTE
História	O
A	O
Igreja	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Santa	I-LOCAL_HUMANO
Cruz	I-LOCAL_HUMANO
de	O
Coimbra	B-LOCAL_HUMANO
foi	O
fundada	O
em	B-TEMPO_TEMPO_CALEND
1131	I-TEMPO_TEMPO_CALEND
por	O
D.	B-PESSOA_INDIVIDUAL
Telo	I-PESSOA_INDIVIDUAL
(	O
São	B-PESSOA_INDIVIDUAL
Teotónio	I-PESSOA_INDIVIDUAL
)	O
e	O
11	B-VALOR_QUANTIDADE
outros	O
religiosos	O
,	O
que	O
adotaram	O
a	O
regra	O
dos	O
Cónegos	B-ABSTRACCAO_DISCIPLINA
Regrantes	I-ABSTRACCAO_DISCIPLINA
de	I-ABSTRACCAO_DISCIPLINA
Santo	I-ABSTRACCAO_DISCIPLINA
Agostinho	I-ABSTRACCAO_DISCIPLINA
.	O
A	O
nova	O
Igreja	B-ORGANIZACAO_INSTITUICAO
recebeu	O
muitos	O
privilégios	O
papais	O
e	O
doações	O
dos	O
primeiros	O
reis	B-PESSOA_GRUPOCARGO
de	I-PESSOA_GRUPOCARGO
Portugal	I-PESSOA_GRUPOCARGO
,	O
tornando	O
-	O
se	O
a	O
mais	O
importante	O
casa	O
monástica	O
do	O
reino	O
.	O
Sua	O
escola	O
foi	O
uma	O
das	O
melhores	O
instituições	O
de	O
ensino	O
do	O
Portugal	O
medieval	O
,	O
tendo	O
uma	O
grande	O
biblioteca	O
(	O
agora	O
na	O
Biblioteca	B-LOCAL_HUMANO
Pública	I-LOCAL_HUMANO
Municipal	I-LOCAL_HUMANO
do	O
Porto	B-LOCAL_HUMANO
)	O
e	O
um	O
activo	O
scriptorium	O
.	O
Nos	B-TEMPO_TEMPO_CALEND
tempos	I-TEMPO_TEMPO_CALEND
de	O
D.	B-PESSOA_INDIVIDUAL
Afonso	I-PESSOA_INDIVIDUAL
Henriques	I-PESSOA_INDIVIDUAL
,	O
primeiro	O
monarca	O
português	O
,	O
o	O
scriptorium	O
de	O
Santa	B-ORGANIZACAO_INSTITUICAO
Cruz	I-ORGANIZACAO_INSTITUICAO
foi	O
usado	O
como	O
máquina	O
de	O
consolidação	O
do	O
poder	O
real	O
.	O
A	O
importância	O
da	O
Igreja	B-ORGANIZACAO_INSTITUICAO
é	O
evidenciada	O
pelo	O
fato	O
de	O
que	O
D.	B-PESSOA_INDIVIDUAL
Afonso	I-PESSOA_INDIVIDUAL
Henriques	I-PESSOA_INDIVIDUAL
e	O
seu	O
sucessor	O
,	O
D.	B-PESSOA_INDIVIDUAL
Sancho	I-PESSOA_INDIVIDUAL
I	I-PESSOA_INDIVIDUAL
,	O
foram	O
sepultados	O
lá	O
.	O
Na	O
Idade	O
Média	O
,	O
o	O
mais	O
famoso	O
estudante	O
da	O
Igreja	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Santa	I-ORGANIZACAO_INSTITUICAO
Cruz	I-ORGANIZACAO_INSTITUICAO
foi	O
Fernando	B-PESSOA_INDIVIDUAL
Martins	I-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Bulhões	I-PESSOA_INDIVIDUAL
,	O
o	O
futuro	O
Santo	B-PESSOA_INDIVIDUAL
António	I-PESSOA_INDIVIDUAL
de	O
Lisboa	B-LOCAL_HUMANO
(	O
ou	O
Santo	B-PESSOA_INDIVIDUAL
António	I-PESSOA_INDIVIDUAL
de	O
Pádua	B-LOCAL_HUMANO
)	O
.	O
Em	B-TEMPO_TEMPO_CALEND
1220	I-TEMPO_TEMPO_CALEND
,	O
o	O
religioso	O
assiste	O
à	O
chegada	O
à	O
Igreja	B-LOCAL_HUMANO
dos	O
restos	O
mortais	O
de	O
cinco	O
frades	O
franciscanos	O
martirizados	O
no	O
Marrocos	B-LOCAL_HUMANO
(	O
os	O
Mártires	B-PESSOA_GRUPOIND
do	O
Marrocos	B-LOCAL_HUMANO
)	O
,	O
e	O
decide	O
fazer	O
-	O
se	O
missionário	O
e	O
partir	O
de	O
Portugal	B-LOCAL_HUMANO
.	O
No	B-TEMPO_TEMPO_CALEND
início	I-TEMPO_TEMPO_CALEND
do	I-TEMPO_TEMPO_CALEND
século	I-TEMPO_TEMPO_CALEND
XVI	I-TEMPO_TEMPO_CALEND
,	O
o	O
rei	B-PESSOA_INDIVIDUAL
D.	I-PESSOA_INDIVIDUAL
Manuel	I-PESSOA_INDIVIDUAL
I	I-PESSOA_INDIVIDUAL
ordena	O
uma	O
grande	O
reforma	O
,	O
reconstruindo	O
e	O
redecorando	O
a	O
igreja	O
e	O
o	O
mosteiro	O
.	O
Nessa	B-TEMPO_TEMPO_CALEND
época	I-TEMPO_TEMPO_CALEND
são	O
transladados	O
os	O
restos	O
de	O
Afonso	B-PESSOA_INDIVIDUAL
Henriques	I-PESSOA_INDIVIDUAL
e	O
Sancho	B-PESSOA_INDIVIDUAL
I	I-PESSOA_INDIVIDUAL
dos	O
seus	O
sarcófagos	O
originais	O
para	O
novos	O
túmulos	O
decorados	O
em	O
estilo	O
manuelino	O
.	O
Entre	B-TEMPO_TEMPO_CALEND
1530	I-TEMPO_TEMPO_CALEND
e	I-TEMPO_TEMPO_CALEND
1577	I-TEMPO_TEMPO_CALEND
funcionou	O
uma	O
imprensa	O
no	O
claustro	O
.	O
É	O
possível	O
que	O
o	O
poeta	O
Luís	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Camões	I-PESSOA_INDIVIDUAL
tenha	O
estudado	O
em	O
Santa	B-ORGANIZACAO_INSTITUICAO
Cruz	I-ORGANIZACAO_INSTITUICAO
,	O
uma	O
vez	O
que	O
um	O
parente	O
seu	O
(	O
D.	B-PESSOA_INDIVIDUAL
Bento	I-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Camões	I-PESSOA_INDIVIDUAL
)	O
era	O
prior	O
do	O
mosteiro	O
na	O
época	O
,	O
e	O
há	O
evidências	O
em	O
sua	O
poesia	O
de	O
uma	O
estadia	O
em	O
Coimbra	B-LOCAL_HUMANO
.	O
Na	O
internet	O
,	O
no	O
cinema	O
,	O
na	O
TV	O
,	O
na	O
Locadora	B-LOCAL_HUMANO
Carlos	B-PESSOA_INDIVIDUAL
Gerbase	I-PESSOA_INDIVIDUAL
faz	O
parte	O
de	O
uma	O
geração	O
de	O
cineastas	O
que	O
apareceu	O
em	O
Porto	B-LOCAL_HUMANO
Alegre	I-LOCAL_HUMANO
nos	B-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
90	I-TEMPO_TEMPO_CALEND
,	O
com	O
a	O
intenção	O
de	O
colocar	O
o	O
Rio	B-LOCAL_HUMANO
Grande	I-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
no	O
mapa	O
nacional	O
da	O
Sétima	B-ABSTRACCAO_DISCIPLINA
Arte	I-ABSTRACCAO_DISCIPLINA
.	O
Através	O
da	O
Casa	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Cinema	I-ORGANIZACAO_INSTITUICAO
de	O
Porto	B-LOCAL_HUMANO
Alegre	I-LOCAL_HUMANO
,	O
esse	O
grupo	O
produziu	O
obras	O
-	O
primas	O
como	O
o	O
curta	O
-	O
metragem	O
Ilha	B-OBRA_REPRODUZIDA
das	I-OBRA_REPRODUZIDA
