2008	B-TEMPO_TEMPO_CALEND
:	O
novas	O
entradas	O
em	O
bolsa	O
após	O
recuperação	O
confiança	O
A	O
recuperação	O
da	O
confiança	O
nos	O
mercados	O
de	O
capitais	O
deverá	O
estimular	O
a	O
entrada	O
de	O
novas	O
empresas	O
em	O
bolsa	O
,	O
quer	O
através	O
de	O
privatizações	O
,	O
como	O
ANA	B-COISA_CLASSE
,	O
TAP	B-ORGANIZACAO_EMPRESA
e	O
Aquapor	B-ORGANIZACAO_EMPRESA
,	O
quer	O
através	O
de	O
capital	O
privado	O
,	O
segundo	O
gestores	O
de	O
activos	O
contactados	O
pela	O
Lusa	O
.	O
O	O
Santander	B-ORGANIZACAO_INSTITUICAO
Gestão	I-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Activos	I-ORGANIZACAO_INSTITUICAO
considera	O
que	O
