Euro	B-COISA_CLASSE
segue	O
em	O
alta	O
face	O
ao	O
dólar	O
O	O
euro	O
segue	O
a	O
reforçar	O
os	O
ganhos	O
em	O
relação	O
à	O
divisa	O
dos	O
Estados	B-ORGANIZACAO_ADMINISTRACAO
Unidos	I-ORGANIZACAO_ADMINISTRACAO
esta	B-TEMPO_TEMPO_CALEND
segunda	I-TEMPO_TEMPO_CALEND
-	I-TEMPO_TEMPO_CALEND
feira	I-TEMPO_TEMPO_CALEND
,	O
cotando	O
sobre	O
1,474	B-VALOR_MOEDA
dólares	I-VALOR_MOEDA
,	O
seis	O
cêntimos	O
acima	O
dos	O
máximos	O
da	O
sessão	O
anterior	O
.	O
A	O
tendência	O
reflecte	O
as	O
perspectivas	O
do	O
mercado	O
de	O
uma	O
nova	O
descida	O
nas	O
taxas	O
de	O
juro	O
da	O
Reserva	B-ORGANIZACAO_INSTITUICAO
Federal	I-ORGANIZACAO_INSTITUICAO
dos	O
EUA	B-LOCAL_HUMANO
com	O
o	O
objectivo	O
de	O
inverter	O
o	O
cenário	O
de	O
abrandamento	O
da	O
economia	O
.	O
Por	O
outro	O
lado	O
,	O
números	O
do	O
Fundo	B-ORGANIZACAO_INSTITUICAO
Monetário	I-ORGANIZACAO_INSTITUICAO
Internacional	I-ORGANIZACAO_INSTITUICAO
divulgados	O
na	B-TEMPO_TEMPO_CALEND
passada	I-TEMPO_TEMPO_CALEND
sexta	I-TEMPO_TEMPO_CALEND
-	I-TEMPO_TEMPO_CALEND
feira	I-TEMPO_TEMPO_CALEND
indicam	O
que	O
a	O
divisa	O
europeia	O
já	O
pesa	O
26,4%	B-VALOR_QUANTIDADE
do	O
total	O
das	O
reservas	O
externas	O
em	O
todo	O
mundo	O
no	B-TEMPO_TEMPO_CALEND
terceiro	I-TEMPO_TEMPO_CALEND
trimestre	I-TEMPO_TEMPO_CALEND
,	O
mais	O
do	O
que	O
no	B-TEMPO_TEMPO_CALEND
trimestre	I-TEMPO_TEMPO_CALEND
anterior	I-TEMPO_TEMPO_CALEND
e	O
a	O
comparar	O
com	O
24,4%	B-VALOR_QUANTIDADE
um	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
antes	I-TEMPO_TEMPO_CALEND
.	O
Na	B-TEMPO_TEMPO_CALEND
passada	I-TEMPO_TEMPO_CALEND
sexta	I-TEMPO_TEMPO_CALEND
-	I-TEMPO_TEMPO_CALEND
feira	I-TEMPO_TEMPO_CALEND
,	O
o	O
Banco	B-ORGANIZACAO_INSTITUICAO
Central	I-ORGANIZACAO_INSTITUICAO
Europeu	I-ORGANIZACAO_INSTITUICAO
(	O
BCE	B-ORGANIZACAO_INSTITUICAO
)	O
fixou	O
a	O
taxa	O
de	O
câmbio	O
oficial	O
a	O
1,4692	B-VALOR_MOEDA
dólares	I-VALOR_MOEDA
,	O
um	O
valor	O
que	O
corresponde	O
a	O
mais	B-VALOR_QUANTIDADE
17%	I-VALOR_QUANTIDADE
face	O
ao	O
câmbio	O
média	O
calculado	O
para	B-TEMPO_TEMPO_CALEND
2006	I-TEMPO_TEMPO_CALEND
,	O
quando	O
a	O
moeda	O
única	O
europeia	O
se	O
fixou	O
em	O
1,2556	B-VALOR_MOEDA
dólares	I-VALOR_MOEDA
,	O
segundo	O
dados	O
do	O
BCE	B-ORGANIZACAO_INSTITUICAO
para	O
a	O
média	O
anual	O
.	O
Nuno	B-PESSOA_INDIVIDUAL
Álvares	I-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
Biografia	O
Nuno	B-PESSOA_INDIVIDUAL
Álvares	I-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
nasceu	O
na	O
vila	O
de	O
Cernache	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Bonjardim	I-LOCAL_HUMANO
,	O
concelho	O
da	O
Sertã	B-LOCAL_HUMANO
.	O
Era	O
filho	O
de	O
Álvaro	B-PESSOA_INDIVIDUAL
Gonçalves	I-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
e	O
de	O
Iria	B-PESSOA_INDIVIDUAL
Gonçalves	I-PESSOA_INDIVIDUAL
do	I-PESSOA_INDIVIDUAL
Carvalhal	I-PESSOA_INDIVIDUAL
.	O
Casou	O
com	O
Leonor	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Alvim	I-PESSOA_INDIVIDUAL
,	O
em	B-TEMPO_TEMPO_CALEND
1377	I-TEMPO_TEMPO_CALEND
em	O
Vila	B-LOCAL_HUMANO
Nova	I-LOCAL_HUMANO
da	I-LOCAL_HUMANO
Rainha	I-LOCAL_HUMANO
,	O
freguesia	O
do	O
concelho	O
de	O
Azambuja	B-LOCAL_HUMANO
.	O
Quando	O
o	O
rei	B-PESSOA_INDIVIDUAL
Fernando	I-PESSOA_INDIVIDUAL
de	O
Portugal	B-LOCAL_HUMANO
morreu	O
em	B-TEMPO_TEMPO_CALEND
1383	I-TEMPO_TEMPO_CALEND
,	O
sem	O
herdeiros	O
a	O
não	O
ser	O
a	O
princesa	B-PESSOA_INDIVIDUAL
Beatriz	I-PESSOA_INDIVIDUAL
casada	O
com	O
o	O
rei	B-PESSOA_INDIVIDUAL
João	I-PESSOA_INDIVIDUAL
I	I-PESSOA_INDIVIDUAL
de	O
Castela	B-LOCAL_HUMANO
,	O
Nuno	B-PESSOA_INDIVIDUAL
foi	O
um	O
dos	O
primeiros	O
nobres	O
a	O
apoiar	O
as	O
pretensões	O
de	O
João	B-PESSOA_INDIVIDUAL
,	O
o	O
Mestre	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Avis	I-PESSOA_INDIVIDUAL
à	O
coroa	O
.	O
Apesar	O
de	O
ser	O
filho	O
ilegítimo	O
de	O
Pedro	B-PESSOA_INDIVIDUAL
I	I-PESSOA_INDIVIDUAL
de	O
Portugal	B-LOCAL_HUMANO
,	O
João	B-PESSOA_INDIVIDUAL
afigurava	O
-	O
se	O
como	O
uma	O
hipótese	O
preferível	O
à	O
perda	O
de	O
independência	O
para	O
os	O
castelhanos	O
.	O
Depois	O
da	O
primeira	O
vitória	O
de	O
Álvares	B-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
frente	O
aos	O
castelhanos	O
na	O
batalha	O
dos	O
Atoleiros	B-ACONTECIMENTO_EFEMERIDE
em	B-TEMPO_TEMPO_CALEND
Abril	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1384	I-TEMPO_TEMPO_CALEND
,	O
João	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Avis	I-PESSOA_INDIVIDUAL
nomeia	O
-	O
o	O
Condestável	B-PESSOA_CARGO
de	O
Portugal	B-LOCAL_HUMANO
e	O
Conde	B-PESSOA_CARGO
de	I-PESSOA_CARGO
Ourém	I-PESSOA_CARGO
.	O
O	O
génio	O
militar	O
de	O
Nuno	B-PESSOA_INDIVIDUAL
Álvares	I-PESSOA_INDIVIDUAL
Pereira	I-PESSOA_INDIVIDUAL
foi	O
decisivo	O
na	O
