Ministério	B-ACONTECIMENTO
da	I-ACONTECIMENTO
Defesa	I-ACONTECIMENTO
Nacional	I-ACONTECIMENTO
Ministro	I-ACONTECIMENTO
da	I-ACONTECIMENTO
Defesa	I-ACONTECIMENTO
Nacional	I-ACONTECIMENTO
visita	I-ACONTECIMENTO
Forças	I-ACONTECIMENTO
Nacionais	I-ACONTECIMENTO
Destacadas	I-ACONTECIMENTO
no	I-ACONTECIMENTO
Afeganistão	I-ACONTECIMENTO
O	I-ACONTECIMENTO
Ministro	I-ACONTECIMENTO
da	I-ACONTECIMENTO
Defesa	I-ACONTECIMENTO
Nacional	I-ACONTECIMENTO
,	O
Nuno	B-PESSOA
Severiano	I-PESSOA
Teixeira	I-PESSOA
,	O
desloca-se	O
ao	O
Afeganistão	B-LOCAL
,	O
no	B-TEMPO
dia	I-TEMPO
29	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
,	O
para	O
efectuar	O
uma	O
visita	O
às	B-OBRA
Forças	I-OBRA
Nacionais	I-OBRA
Destacadas	I-OBRA
em	O
Cabul	B-LOCAL
.	O
Nuno	B-PESSOA
Severiano	I-PESSOA
Teixeira	I-PESSOA
visitará	O
o	O
contingente	O
português	O
estacionado	O
em	O
Campo	B-LOCAL
Warehouse	I-LOCAL
,	O
composto	O
pela	O
22	O
.	O
ª	O
Companhia	O
de	O
Atiradores	B-PESSOA
Pára-Quedistas	I-PESSOA
da	I-PESSOA
Brigada	I-PESSOA
de	I-PESSOA
Reacção	I-PESSOA
Rápida	I-PESSOA
e	O
uma	O
equipa	O
de	O
Controladores	B-PESSOA
Aéreos	I-PESSOA
Avançados	I-PESSOA
da	I-PESSOA
Força	I-PESSOA
Aérea	I-PESSOA
.	O
O	O
Ministro	B-PESSOA
da	I-PESSOA
Defesa	I-PESSOA
deverá	O
assistir	O
ao	O
briefing	O
do	O
destacamento	O
e	O
visitar	O
o	O
aquartelamento	O
do	O
Campo	B-ABSTRACCAO
Warehouse	I-ABSTRACCAO
.	O
Com	O
um	O
total	O
de	O
161	B-VALOR
militares	O
,	O
o	O
contingente	O
português	O
integrado	O
na	O
Força	B-ORGANIZACAO
Internacional	I-ORGANIZACAO
de	I-ORGANIZACAO
Assistência	I-ORGANIZACAO
e	O
Segurança	B-PESSOA
-LRB-	O
ISAF	B-ORGANIZACAO
-RRB-	O
constitui	O
a	O
Força	B-PESSOA
de	I-PESSOA
Reacção	I-PESSOA
Rápida	I-PESSOA
do	I-PESSOA
Comandante	I-PESSOA
da	I-PESSOA
força	I-PESSOA
da	I-PESSOA
NATO	I-PESSOA
no	O
Afeganistão	B-LOCAL
.	O
Nuno	B-PESSOA
Severiano	I-PESSOA
Teixeira	I-PESSOA
reúne-se	O
ainda	O
com	O
o	O
comandante	O
da	O
força	O
da	O
NATO	B-ORGANIZACAO
-LRB-	O
ISAF	B-ORGANIZACAO
-RRB-	O
no	O
Afeganistão	B-LOCAL
,	O
General	B-PESSOA
Dan	I-PESSOA
McNeill	I-PESSOA
.	O
A	O
participação	O
militar	O
Portuguesa	B-ABSTRACCAO
no	O
Afeganistão	B-LOCAL
começou	O
a	B-TEMPO
10	I-TEMPO
de	I-TEMPO
Agosto	I-TEMPO
de	I-TEMPO
2005	I-TEMPO
.	O
Nuno	B-PESSOA
Severiano	I-PESSOA
Teixeira	I-PESSOA
aproveita	O
a	O
deslocação	O
a	O
Cabul	B-LOCAL
para	O
manter	O
encontros	O
com	O
as	O
autoridades	O
afegãs	O
.	O
O	O
Ministro	B-PESSOA
da	I-PESSOA
Defesa	I-PESSOA
deverá	O
reunir-se	O
com	O
o	O
Ministro	B-PESSOA
da	I-PESSOA
Defesa	I-PESSOA
afegão	I-PESSOA
,	O
Raheem	B-PESSOA
Wardag	I-PESSOA
,	O
e	O
com	O
o	O
Presidente	B-PESSOA
da	I-PESSOA
República	I-PESSOA
Islâmica	I-PESSOA
do	O
Afeganistão	B-LOCAL
,	O
Hamid	B-PESSOA
Karzai	I-PESSOA
.	O
O	O
Ministro	B-PESSOA
da	I-PESSOA
Defesa	I-PESSOA
Nacional	I-PESSOA
estará	O
de	O
regresso	O
a	O
Lisboa	B-LOCAL
no	B-TEMPO
dia	I-TEMPO
30	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
.	O
De	O
bicicleta	O
também	O
pelo	O
Ambiente	B-PESSOA
Durante	I-PESSOA
a	O
Conferência	B-ORGANIZACAO
das	I-ORGANIZACAO
Nações	I-ORGANIZACAO
Unidas	I-ORGANIZACAO
sobre	O
as	O
Alterações	B-PESSOA
Climáticas	I-PESSOA
,	O
em	O
Bali	B-LOCAL
,	O
o	O
Público	B-PESSOA
teve	O
uma	O
secção	O
designada	O
''	O
Eu	O
contribuo	O
''	O
,	O
onde	O
os	O
leitores	O
eram	O
convidados	O
a	O
dizerem	O
aquilo	O
que	O
fazem	O
pelo	O
Ambiente	B-ORGANIZACAO
.	O
Não	O
parece	O
